h,Adrien,Hadrien,,,,,,
h,Ahmed,Hamed,,,,,,
h,Alan,Allan,,,,,,
h,Alexis,Alexy,Alexys,,,,,
f,Alicia,Alyssia,Alycia,,,,,
f,Alison,Allison,Alisson,Alyson,,,,
f,Aliyah,Alia,Alya,Aliya,,,,
h,Amine,Amin,,,,,,
f,Anaé,Hanaë,,,,,,
f,Anaëlle,Annaelle,,,,,,
f,Andréa,Andrea,Andreas,,,,,
f,Anna,Ana,Hanna,Hannah,Hana,,,
f,Annabelle,Anabelle,Annabel,,,,,
f,Annie,Anny,,,,,,
f,Annick,Annik,Anick,,,,,
f,Anouk,Anouck,,,,,,
h,Anthony,Antony,,,,,,
f,Assia,Assya,,,,,,
f,Astrid,Astride,,,,,,
h,Ayman,Aymen,,,,,,
h,Aymeric,Emeric,,,,,,
h,Bryan,Brian,Brayan,,,,,
f,Bérengère,Bérangère,,,,,,
f,Carole,Carol,,,,,,
f,Cassandra,Kassandra,,,,,,
f,Cathy,Katy,Kathy,Cathie,,,,
h,Cedric,Cedrick,,,,,,
f,Celya,Celia,,,,,,
f,Chantal,Chantale,,,,,,
h,Charlie,Charly,,,,,,
f,Charline,Charlyne,,,,,,
f,Chloé,Cloé,,,,,,
f,Christelle,Christel,Chrystel,Chrystelle,Christèle,Chrystele,Cristelle,
f,Christiane,Christianne,,,,,,
f,Christina,Cristina,,,,,,
f,Clotilde,Clothilde,,,,,,
f,Corinne,Corine,,,,,,
h,Cyril,Cyrille,,,,,,
f,Danielle,Daniele,,,,,,
h,Dany,Danny,,,,,,
f,Daphnée,Daphné,,,,,,
h,Djamel,Jamel,,,,,,
h,Eddy,Eddie,Hedi,,,,,
h,Edgar,Edgard,,,,,,
f,Elena,Hélèna,,,,,,
h,Eliott,Eliot,Elliot,,,,,
f,Eloïse,Heloise,,,,,,
f,Emma,Ema,,,,,,
f,Emmy,Emy,Emie,,,,,
h,Erwan,Erwann,,,,,,
h,Evan,Evann,,,,,,
h,Franck,Frank,,,,,,
h,Freddy,Fredy,,,,,,
h,Frédéric,Frederick,,,,,,
h,Gauthier,Gautier,,,,,,
f,Ghislaine,Gislaine,Ghyslaine,,,,,
h,Gilles,Gil,,,,,,
f,Giulia,,,,,,,
f,Gladys,Gwladys,,,,,,
f,Guylaine,Guilaine,Guylène,,,,,
h,Hakim,Akim,,,,,,
h,Henri,Henry,,,,,,
h,Hugo,Ugo,,,,,,
h,Idriss,Idris,,,,,,
h,Ilan,Ilhan,,,,,,
h,Ilyas,Ilias,,,,,,
h,Ilyes,Ilies,,,,,,
f,Imane,Iman,,,,,,
h,Imran,Imrane,,,,,,
f,Imène,Imen,,,,,,
f,Isabelle,Isabel,,,,,,
h,Jacky,Jackie,,,,,,
h,Jacques,Jack,,,,,,
f,Jeannine,Janine,Jeanine,,,,,
f,Jennifer,Jennyfer,,,,,,
f,Jessie,Jessy,,,,,,
h,Jibril,Djibril,,,,,,
h,Joachim,Joaquim,,,,,,
h,Jocelyn,Josselin,,,,,,
f,Jocelyne,Josseline,Joselyne,,,,,
h,Johan,Johann,Johanne,Joanne,Joan,,,
f,Johanna,Joanna,Joana,Johana,,,,
h,Johnny,Johny,,,,,,
h,Jordan,Jordane,,,,,,
f,Josiane,Josianne,Josyane,,,,,
f,Julia,,,,,,,
h,Jérémy,Jeremie,,,,,,
f,Karine,Carine,,,,,,
h,Karl,Carl,,,,,,
h,Kelian,Kelyan,,,,,,
h,Killian,Kilian,Kylian,Kyllian,,,,
f,Laeticia,Laetitia,,,,,,
f,Laly,Lalie,,,,,,
f,Laureen,Lauryn,,,,,,
f,Lauriane,Laurianne,Loriane,,,,,
f,Laurie,Laury,,,,,,
f,Laurine,Lauryne,,,,,,
f,Laurène,Lorraine,Lorene,Lauren,,,,
f,Leila,Laila,,,,,,
f,Leina,Leyna,,,,,,
h,Lenny,Leny,,,,,,
f,Lila,Lilas,,,,,,
f,Lilou,Lylou,,,,,,
f,Lily,Lilly,,,,,,
f,Lilya,Lylia,,,,,,
f,Line,Lyne,,,,,,
h,Lionel,Lionnel,,,,,,
f,Lisa,Liza,Lysa,,,,,
f,Lise,Lyse,,,,,,
f,Lisiane,Lysiane,,,,,,
h,Loan,Lohan,Loann,,,,,
f,Loane,Loan,,,,,,
f,Louane,Lou-Anne,Louanne,Louann,Lou-Ann,,,
h,Louca,Loucas,,,,,,
h,Loïc,Loick,,,,,,
h,Lucas,Luca,Lukas,Luka,,,,
f,Lucie,Lucy,,,,,,
f,Lucile,Lucille,,,,,,
f,Léane,Leanne,,,,,,
f,Magalie,Magaly,Magali,,,,,
f,Maguy,Maggy,,,,,,
f,Mallaury,Malorie,,,,,,
h,Mamadou,Mahamadou,,,,,,
f,Manuela,Manuella,,,,,,
f,Margaux,Margot,,,,,,
f,Marianne,Mariane,,,,,,
f,Marie,Mary,,,,,,
f,Marie-José,Marie-Josée,,,,,,
f,Marie-Line,Marilyne,Marilyn,,,,,
f,Marilou,Marie-Lou,,,,,,
f,Marine,Maryne,,,,,,
h,Marwan,Marwane,,,,,,
h,Mathias,Matthias,,,,,,
h,Mathieu,Matthieu,,,,,,
h,Mathis,Matthis,Mathys,Matis,Matys,,,
h,Mathéo,Matteo,Mateo,Mattheo,,,,
f,Maud,Maude,,,,,,
f,Maureen,Maurine,,,,,,
f,Maya,Maia,,,,,,
f,Maé,Mahe,,,,,,
h,Maé,Mahé,,,,,,
f,Maélie,Maely,,,,,,
h,Mehdi,Medhi,Mehdy,,,,,
h,Melvin,Melvyn,,,,,,
f,Meriem,Meryem,,,,,,
h,Michel,Michèle,,,,,,
f,Michèle,Michelle,,,,,,
h,Mickaël,Michael,Mikael,,,,,
h,Mohamed,Mohammed,,,,,,
f,Morgane,Morgan,,,,,,
f,Muriel,Murielle,,,,,,
h,Mustapha,Mustafa,,,,,,
f,Mélodie,Melody,,,,,,
f,Naomi,Naomie,,,,,,
f,Nicole,Nicolle,,,,,,
h,Noah,Noa,,,,,,
h,Noam,Noham,,,,,,
h,Nolan,Nolhan,Nolann,,,,,
f,Nora,Norah,,,,,,
f,Oriane,Orianne,,,,,,
h,Philippe,Filipe,,,,,,
f,Priscilla,Priscillia,,,,,,
f,Rachel,Rachelle,,,,,,
h,Raphaël,Rafael,,,,,,
f,Raphaëlle,Raphaele,,,,,,
h,Rayan,Rayane,,,,,,
h,Reynald,Raynald,Renald,,,,,
h,Roland,Rolland,,,,,,
f,Roselyne,Roseline,,,,,,
f,Roxane,Roxanne,,,,,,
h,Rudy,Ruddy,,,,,,
h,Ryad,Riad,,,,,,
h,Rémi,Remy,,,,,,
h,Sacha,Sasha,,,,,,
h,Samy,Sami,,,,,,
f,Sana,Sanaa,,,,,,
f,Sandrine,Cendrine,,,,,,
f,Sandy,Sandie,,,,,,
f,Sarah,Sara,Sahra,,,,,
f,Sasha,Sacha,,,,,,
f,Shana,Shanna,,,,,,
f,Simonne,Simone,,,,,,
f,Sirine,Syrine,,,,,,
h,Soan,Sohan,,,,,,
f,Sofia,Sophia,,,,,,
h,Sofiane,Sofian,,,,,,
f,Solène,Solenn,Solenne,,,,,
h,Souleyman,Souleymane,,,,,,
f,Stacy,Stessy,Stecy,,,,,
h,Stephan,Stefan,,,,,,
h,Steve,Steeve,,,,,,
h,Steven,Steeven,,,,,,
f,Suzy,Suzie,,,,,,
h,Swann,Swan,,,,,,
f,Sybille,Sibylle,,,,,,
f,Thalia,Talia,,,,,,
h,Thibault,Thibaut,Thibaud,,,,,
h,Théo,Teo,,,,,,
f,Tiffany,Tiphanie,Tiffanie,,,,,
h,Timothée,Timothe,,,,,,
h,Timéo,Tymeo,,,,,,
f,Tiphaine,Typhaine,Tifenn,,,,,
h,Tony,Toni,,,,,,
h,Virgil,Virgile,,,,,,
h,Wilfried,Wilfrid,,,,,,
h,William,Williams,,,,,,
h,Yanis,Yannis,,,,,,
h,Yann,Yan,,,,,,
h,Yannick,Yanick,,,,,,
h,Yassine,Yassin,Yasin,,,,,
f,Yaël,Yaelle,,,,,,
h,Ylan,Ilan,,,,,,
h,Yoann,Yohann,Yohan,Yoan,,,,
h,Younes,Youness,,,,,,
h,Youssouf,Yusuf,,,,,,
h,Yusuf,,,,,,,
h,Yvan,Ivan,,,,,,
f,Élisabeth,Elizabeth,,,,,,
f,Émeline,Emelyne,,,,,,
f,Émilie,Emily,,,,,,
h,Éric,Erick,Erik,,,,,
f,Évelyne,Eveline,,,,,,
